publisher,n,twitter_handle
Routledge,2831,routledgebooks
Oxford University Press,688,OxUniPress
Bloomsbury Academic,574,BloomsburyAcad
Cambridge University Press,545,CambridgeUP
Amberley Publishing,464,amberleybooks
I.B. Tauris,262,ibtauris
Pen & Sword Military,254,penswordbooks
Archaeopress Archaeology,242,Archaeopress
Lexington Books,218,RLPGBooks
University Press of Colorado,207,UPColorado
Manchester University Press,188,ManchesterUP
Palgrave Macmillan,170,PalgraveHistory
Liverpool University Press,168,LivUniPress
Berghahn Books,164,berghahnbooks
The University of North Carolina Press,160,uncpressblog
University Press of Florida,156,floridapress
Osprey Publishing,154,OspreyBooks
Cornell University Press,148,CornellPress
The History Press,143,TheHistoryPress
Springer,140,SpringerNature
Yale University Press,136,yalepress
Rowman & Littlefield Publishers,132,RLPGBooks
The Boydell Press,131,boydellbrewer
Pen & Sword History,130,penswordbooks
BAR Publishing,123,BAR_Publishing
Cambridge Scholars Publishing,122,CamScholars
Princeton University Press,110,PrincetonUPress
William Collins,110,WmCollinsBooks
Weidenfeld & Nicolson,103,wnbooks
"Routledge, Taylor & Francis Group",100,routledgebooks
Helion & Company,96
Penguin Books,93
University of Chicago Press,93
"McFarland & Company, Inc., Publishers",92
Brepols,88
PublicAffairs,87
Edinburgh University Press,76
Wiley-Blackwell,75
Austin Macauley Publishers,74
Texas A&M University Press,70
Archaeopress Publishing Ltd,69
Blue Bike Books,69
Matador,69
Raintree,69
Oxbow Books,68
Allen Lane,67
Stackpole Books,66
Hodder Education,64
Luath Press,64
Short Books,63
Simon & Schuster UK Ltd.,59
Columbia University Press,56
Apollo,54
Eisenbrauns,54
Canongate,53
Frontline Books,52
Johns Hopkins University Press,52
Simon & Schuster,52
Biteback Publishing,50
Bloomsbury,50
Profile Books,50
Birlinn,49
Franklin Watts,49
Blackwell Pub.,48
University of New Mexico Press,48
AuthorHouse UK,47
Vintage Books,46
Allen & Unwin,45
University of Florida Press,44
Hachette Books,43
ISEAS,42
University of Alaska Press,42
University of Oklahoma Press,42
University Press of Kansas,42
University Press of Mississippi,42
Public Affairs,41
Boydell Press,38
Hurst & Company,38
John Donald,37
Arc Humanities Press,36
Cambridge Scholars Publisher,36
Dumbarton Oaks,36
HarperCollins,36
Leicester University Press,36
Luath Press Limited,36
Pen & Sword Aviation,36
Southern Illinois University Press,36
University of Texas Press,36
Verso,36
The Lyons Press,35
Continuum,34
GWAA/TSL Publications,33
Skyhorse Publishing,33
Air World,32
Archaeopress Access Archaeology,32
Chicago Review Press,32
Hodder & Stoughton,32
Indiana University Press,32
UCD Press,32
AUK Classics,31
Hambledon Press,31
Harvard University Press,31
Boydell & Brewer,30
Constable,30
University of California Press,30
University of Nebraska Press,30
Arcadia Publishing,29
Bridges,29
Four Courts Press,29
Mercier Press,29
Oneworld,29
Polity Press,29
The University of Utah Press,29
Wiley Blackwell,29
Atlantic Books,28
Melbourne University Publishing,28
SNOVA,28
Cork University Press,27
Palgrave Pivot,27
Routledge India,27
The Jamestown Foundation,27
The O'Brien Press,27
University of Massachusetts Press,27
IDW Publishing,26
Short,26
Southeast Asia Program Publications,26
University of Virginia Press,26
Westview,26
Center Street,25
Picador,25
Prometheus Books,25
Rupa,25
The University Press of Kentucky,25
UCL Press,25
University of Washington Press,25
Fighting High Publishing,24
Future Publishing,24
Icon Books,24
John Blake Publishing,24
New York University Press,24
Sphere,24
The J. Paul Getty Museum,24
The Littman Library of Jewish Civilization,24
University of Georgia Press,24
W.W. Norton and Company,24
Canongate Books,23
Casemate,23
Eland Publishing,23
Neil Wilson Publishing,23
Nova Science Publishers,23
Quercus,23
The University of Chicago Press,23
University of Pennsylvania Press,23
W.W. Norton & Company,23
ABC-CLIO,22
All Points Books,22
Bloomsbury India,22
Kuperard,22
Pen & Sword Family History,22
Stanford University Press,22
Sussex Academic Press,22
The Bodley Head,22
University Press of Kentucky,22
Viking,22
John Murray,21
Mirror Books,21
Saqi Books,21
Scholastic,20
University of Pittsburgh Press,20
York Medieval Press,20
Anthem Press,19
Camden House,19
Jonathan Cape,19
Merrion Press,19
Open Road Media,19
Origin,19
Thomas Dunne Books,19
Unicorn,19
Inolas Publishers Ltd,18
Mensch Publishing,18
Michael O'Mara Books Limited,18
Rutgers University Press,18
Seven Dials,18
Thames and Hudson,18
The Passenger,18
The University of Alabama Press,18
University of Arizona Press,18
Dover Publications,17
Ebury Press,17
Gwasg Carreg Gwalch,17
Houghton Mifflin Harcourt,17
"Little, Brown",17
NIAS Press,17
Pluto Press,17
The University of South Carolina Press,17
"University of Michigan, Center for Chinese Studies",17
Arcturus Publishing,16
Bloomsbury Publishing,16
HarperAlley,16
Henry Holt,16
ISIS,16
Peter Lang,16
Robin Brass Studio,16
Robinson,16
Seven Stories Press,16
Taylor & Francis,16
Amber Books,15
Andrews UK Limited,15
Brookings Institution Press,15
Diversion Books,15
Enchanted Lion Books,15
Globe Pequot Press,15
Grand Central Publishing,15
Hong Kong University Press,15
Institute of Historical Research,15
Lehigh University Press,15
Pushkin Children's Books,15
University of North Texas Press,15
Birlinn Origin,14
Bloomsbury Children's Books,14
Book House,14
Christian Focus Publications,14
Claret Press,14
CRC Press,14
Dutton Books,14
HarperCollinsPublishers,14
Historic Environment Scotland,14
Jagiellonian University Press,14
Magnetic Press,14
McGill-Queen's University Press,14
Pen & Sword Maritime,14
Read How You Want,14
Savas Beatie,14
Scribe,14
Spellmount,14
Stenlake Publishing,14
The MIT Press,14
The University of Wisconsin Press,14
Westholme,14
A LTVAS Publication,13
Arcturus Digital,13
Blacksmith Books,13
Bold Type Books,13
Chatto & Windus,13
Dorling Kindersley Limited,13
Gibson Square,13
New Generation Publishing,13
New York,13
Schwartz,13
Society for Promoting Christian Knowledge,13
The University of Georgia Press,13
Welbeck,13
William Morrow,13
Academica Press,12
Atria/One Signal Publishers,12
Bristol University Press,12
Clipper Large Print Books,12
DK Children,12
Fonthill,12
Gallery Books,12
Greenwood Press,12
Haus Publishing,12
IGI Global,12
"John Wiley & Sons, Inc.",12
Naval Institute Press,12
Princeton Review,12
Roman Society Publications,12
"Routledge, an imprint of the Taylor & Francis Group",12
Seaforth Publishing,12
T & T Clark,12
The University of Tennessee Press,12
Wessex Archaeology,12
Black & White Publishing,11
Brill,11
Faber & Faber,11
Harvard University Asia Center,11
Melbourne University Press,11
Melville House,11
New Island Books,11
Saddleback Educational Publishing,11
Stephen F. Austin State University Press,11
Thomas Nelson,11
Tilbury House Publishers,11
Tricorn Books,11
University Of Hertfordshire Press,11
Walker Books and Subsidiaries,11
West Margin Press,11
"Andarta Books, an imprint of the University Press of Kentucky",10
Blink,10
Carrowmore,10
Corgi Books,10
Denver Art Museum,10
Encounter Books,10
Georg Olms Verlag,10
Granta,10
Heart of Albion,10
Hesperus Press,10
Missouri Historical Society Press,10
Monoray,10
Mushroom Model,10
Ohio University Press,10
Penguin Workshop,10
Scribe Publications,10
Scribner,10
Sentinel,10
Serpent's Tail,10
West Virginia University Press,10
William Morrow Paperbacks,10
Academic Studies Press,9
Avonmore Books,9
Basic Books,9
Caroline Brannigan,9
"Farrar, Straus and Giroux",9
Floris Books,9
G2 Rights,9
George F. Thompson Publishing,9
John Wiley & Sons Ltd,9
Ladyslipper Press,9
"Little, Brown and Company",9
Northern Illinois University Press,9
Northwestern University Press,9
Parthian,9
Penguin Classics,9
Penguin Ireland,9
Schiffer Publishing,9
The History Press Ireland,9
TwoDot,9
University of Illinois Press,9
"University of Michigan, Center for South & Southeast Asian 2020.",9
University of Wales Press,9
Vintage Classics,9
Well-Trained Mind Press,9
ABC Books,8
Austin Macauley Publishers Ltd.,8
Ballantine,8
Bridge21 Publications,8
Eastwood Books,8
Geography Publications,8
Gill Books,8
Gracewing,8
Gregory Gilles,8
Hachette Australia,8
Hamilton Books,8
Handheld Press,8
Harper,8
Haymarket Books,8
Impress Books,8
Langham Monographs,8
Nu Jak Media Publishing,8
Parragon,8
Pen & Sword Archaeology,8
PM Press,8
Prometheus,8
Puffin,8
Quindaro Press,8
River Publishing,8
Robert Stevenson Publishing,8
Third Millennium Press,8
Unbound,8
University Museum Publications,8
University of Aberdeen,8
University of Alberta Press,8
University of Michigan Press,8
WH Allen,8
Wilmington Square Books,8
Wiltshire Record Society,8
Abacus,7
Bantam Press,7
Birlinn Limited,7
Bloomsbury Continuum,7
Bloomsbury T&T Clark,7
Centennial Books,7
Columbia Global Reports,7
Creative Paperbacks,7
D.S. Brewer,7
Doubleday,7
Down East Books,7
Ediciones Beta,7
Frances Lincoln Children's Books,7
Grub Street,7
Hampshire Field Club and Archaeological Society,7
Harvey Miller Publishers,7
I.B. Tauris & Co. Ltd,7
John R Mackay,7
Knopf,7
Mercer University Press,7
Michael Joseph,7
Park Books,7
Peepal Tree Press,7
Pineapple Press,7
Post Hill Press,7
Running Press,7
Schwartz & Wade Books,7
Stanford Briefs,7
The Kent State University Press,7
The Ohio State University Press,7
Tuttle Publishing,7
University of Hawaii Press,7
University of Rochester Press,7
Vandenhoeck & Ruprecht,7
Virago,7
Wilkinson Publishing Pty Ltd,7
4th Estate,6
Abrams,6
Abrams Books for Young Readers,6
Alma Books,6
Alpha,6
Barron's Educational Series,6
BookLife,6
Cassell,6
Cotsen Institute of Archaeology Press,6
CQ Press,6
Currach Books,6
Ebury Digital,6
Eland,6
Flatiron Books,6
Frances Lincoln Limited Publishers,6
Gingko Library,6
Golden House Publications,6
Grosvenor House Publishing,6
Hardie Grant Travel,6
Headline,6
Hodder,6
J.B. Metzler,6
Lannoo,6
"Liveright Publishing Corporation, a division of W.W Norton & Company",6
Lund University Press,6
Lynne Rienner Publishers,6
Mantle Lane Press,6
National University of Ireland,6
New Vessel Press,6
Nosy Crow,6
Other Press,6
Padraig Griffin,6
Particular Books,6
Pennsylvania State University Press,6
Pushkin Press,6
Regnery Publishing,6
Richard Codrington,6
Scribe UK,6
ShieldCrest Publishing Limited,6
Shire Publications,6
Sickle Moon Books,6
Springer International Publishing,6
"Stackpole Books, Rowman & Littlefield Publishing Group, Inc.",6
Sussex Record Society,6
Syracuse University Press,6
Upfront Publishing,6
Vallentine Mitchell,6
Wayne State University Press,6
words & pictures,6
NA,6
AK Press,5
Aleph Book Company,5
Austin Macauley Publishers Ltd,5
Black Swan,5
Bloomsbury Sigma,5
Brandon,5
Breviary Stuff Publications,5
Charlesbridge,5
Chronos Books,5
"Coronet Books, Hodder & Stoughton",5
Edward Everett Root Publishers,5
Familius,5
George Mann Publications,5
Hachette Books Ireland,5
ISEAS-Yusof Ishak Institute,5
Landmark Books,5
Mariner Books,5
"McFarland & Company, Inc",5
Merky Books,5
Monthly Review Press,5
Oregon State University Press,5
Perseus Books,5
Phaeton,5
Philomel Books,5
Plough Publishing House,5
Portable Press,5
Purdue University Press,5
Rare Bird Books,5
Saint Augustine's Press,5
Saluki Publishing,5
Saraband,5
St. Augustine's Press,5
TCU Press,5
The Guild of St George,5
the Harvard University Asia Center,5
The Institute for Polish-Jewish Studies,5
The Johns Hopkins Press,5
The Lilliput Press,5
Times Books,5
Transworld Digital,5
University of Calgary Press,5
Vintage Digital,5
Walker Books Ltd,5
Whittles Publishing,5
Windgather Press,5
Windmill Books,5
Xlibris UK,5
Agenda Publishing,4
Archaia,4
Association for Near-Eastern and Caucasian Studies,4
Back Bay Books,4
Bartleby Press,4
BBC Books,4
Birch Leaf,4
Bush Publishing,4
Button Books,4
Campaign for Press and Broadcasting Freedom (North),4
Century,4
Crown Forum,4
Cune Press,4
deCoubertin Books,4
Duckworth,4
Duckworth Overlook,4
Eclipse Designs,4
Elizabeth Dent in conjunction with WRITERSWORLD,4
Elm Village Arts Publications,4
Exisle,4
Faber and Faber,4
Future PLC,4
Greenhill Books,4
Harper Perennial,4
HarperCollins Australia,4
HarperCollins New Zealand,4
Harvill Secker,4
Hayesprint Publishing,4
Haynes,4
Head of Zeus,4
Hebrew Union College Press,4
Heyday,4
humming earth,4
Hutchinson,4
Ig Publishing,4
Imagine That,4
Institute of Commonwealth Studies,4
Irish Academic Press,4
Jonathan Ball,4
Life is Amazing,4
Lost Moose,4
LTVAS,4
Merlin Unwin Books,4
National Geographic,4
National Trust Books,4
North Point Press,4
O Books,4
Pitkin,4
Pocket Essentials,4
Polity,4
Potomac Books,4
Random House Books for Young Readers,4
Renaissance Books,4
RIBA Publishing,4
Richard J. Waters,4
RMC Media,4
Ronsdale Press,4
Sabrestorm Publishing,4
Sandstone Press,4
Sceptre,4
September Publishing,4
Sidestone Press,4
Spink Books,4
Springer VS,4
SUNY Press,4
Tauris Parke,4
The Chinese University Press,4
The Institute for Polish-Jewish Studies and The American Association for Polish-Jewish Studies,4
The University of Arizona Press,4
Tiffania Books,4
Timbuktu Labs,4
Turner,4
University of Iowa Press,4
University of Missouri Press,4
University of Nevada Press,4
V.A. Nity and Sons,4
Victoria County History,4
W. W. Norton & Company,4
"W.W. Norton & Company, Inc.",4
Walker Studio,4
Wiley,4
Wiley Pub. Australia,4
Wooden Books,4
Worcestershire Historical Society,4
Zed Books,4
Zero Books,4
ACA Publishing Ltd,3
Angel City Press,3
Anglo-Saxon Books,3
Archaeology Ireland,3
Archaeopress Publishing Ltd.,3
Arden,3
Arrow Books,3
Arthur H. Stockwell,3
Avid Reader Press,3
Batsford,3
Baylor University Press,3
Blagdon Publications,3
Broadside Books,3
Caitlin Press,3
Canbury Press,3
Canterbury Classics,3
Chronicle Books,3
Cloudshill Press,3
Cornerstone Digital,3
Coronet,3
Dorset County Museum,3
Dr. Robert Govaerts,3
Edexcel,3
Extremis Publishing,3
Filament Publishing Ltd,3
First Second,3
Focus Readers,3
Gelding Street Press,3
Greenham Trust,3
Grove Press UK,3
HammerOn Press,3
Hardie Grant Books,3
Histria Kids,3
Intellect Books,3
John D. Speake Publishing,3
Leiston press,3
Lemongrass Books,3
Lily Publications,3
London Publishing Partnership,3
Ludlow Historial Research Group,3
Mango Media,3
MIRA,3
NewSouth,3
"Nova Science Publishers, Inc.",3
Orange Hippo,3
Oxford Archaeology North,3
Pan Books,3
Pavilion,3
Peele Publishing,3
Reaktion Books Ltd,3
"Reaktion Books, Ltd",3
Redback Publishing,3
riverrun,3
Royal BC Museum,3
Royal Irish Academy,3
Ryelands,3
Seagull Books,3
Spiderwize,3
The Crowood Press,3
The Getty Conservation Institute,3
The Liffey Press,3
Thoresby Society,3
TLS Books,3
Travelers' Tales,3
University of Hong Kong,3
University of North Carolina Press,3
Vaktel Books,3
Wake Forest University Press,3
West Deeping Heritage,3
White Hart Books,3
White on Black Publishing,3
White Star Publishers,3
Wits University Press,3
Wordcatcher Publishing,3
Zondervan,3
Alison Green Books,2
ATFJ,2
Big Picture Press,2
Boston Old Times Publishing,2
Cherry Orchard Books,2
Clavis Publishing,2
Crimson Publishing,2
D S Brewer,2
Discovery Library,2
Economist,2
EK,2
Folklore Publishing,2
G2 Entertainment,2
Great Oak Bookshop,2
Gretton Books,2
Harper India,2
Infinite Ideas,2
John Owen Smith,2
Korea,2
Leckie,2
Little Hero,2
Lizard House Publishing,2
Lonely Planet,2
Macmillan Children's Books,2
McGraw-Hill,2
Mimesis International,2
Miss Hilary Beavis,2
NIU Press,2
Old St Publishing,2
Perigee Books,2
Poppyland Publishing,2
Princeton Architectural Press,2
QED Publishing,2
Read Fox Books,2
Royal Society of Chemistry,2
SAGE,2
Sandycove,2
St. Martin's Griffin,2
The Cloister House Press,2
Trans Tech Publications,2
Trapeze,2
Twelve,2
Vanessa Fison,2
Vij Books,2
Welbeck Children's Books,2
Welsh Academic Press,2
Westminster John Knox Press,2
Wide Eyed Editions,2
Wren & Rook,2
360 Degrees,1
Bloomsbury Publishing India Pvt. Ltd.,1
Collins,1
Crestline Books,1
Dorling Kindersley,1
Fox Ash Press,1
IntechOpen,1
Jonathan Ball Publishers,1
KickAss Books,1
Knopf Books for Young Readers,1
Lorenz Books,1
Mango,1
Paths International Ltd.,1
Portico,1
Praeger,1
Pyramid,1
Regnery History,1
Seren,1
She Writes Press,1
Solihull Libraries,1
The Belknap Press of Harvard University Press,1
UCT Press,1
Vermilion,1
Wayland,1
West India Company,1
White Ladder Press,1
